,Subect ID,VLD_AC_1back,VLD_AC_2back,VLD_RT_1back,VLD_RT_2back,VLI_AC_1back,VLI_AC_2back,VLI_RT_1back,VLI_RT_2back
0,sub-02,0.9574468085106383,0.782608695652174,0.5334347826086956,0.6868888888888888,0.8723404255319149,0.7608695652173914,0.6294782608695652,0.6996444444444444
1,sub-04,0.9787234042553191,0.8913043478260869,0.6478085106382977,0.6508478260869566,0.9574468085106383,0.8913043478260869,0.5815744680851064,0.6322173913043478
2,sub-05,0.6382978723404256,0.6956521739130435,0.5762307692307691,0.5565000000000001,0.5957446808510638,0.5217391304347826,0.7623333333333333,0.5673513513513514
3,sub-06,0.8723404255319149,0.782608695652174,0.5027826086956521,0.535911111111111,0.9787234042553191,0.6956521739130435,0.6834680851063829,0.683195652173913
4,sub-09,0.9574468085106383,0.9565217391304348,0.6007021276595742,0.5635434782608696,0.8085106382978723,0.8043478260869565,0.472872340425532,0.505804347826087
5,sub-10,0.9361702127659575,0.6956521739130435,0.7358222222222222,0.7926222222222223,0.9574468085106383,0.782608695652174,0.7126808510638298,0.7169347826086956
6,sub-11,0.8085106382978723,0.3695652173913043,0.66725,0.6205714285714287,0.7659574468085106,0.6956521739130435,0.6371363636363637,0.7278536585365855
7,sub-12,0.8085106382978723,0.43478260869565216,0.6463191489361702,0.5447380952380951,0.9361702127659575,0.5652173913043478,0.598404255319149,0.5692608695652174
8,sub-13,0.9574468085106383,0.9130434782608695,0.5492978723404256,0.6487391304347826,0.9361702127659575,0.8260869565217391,0.503127659574468,0.5755652173913045
9,sub-17,0.9787234042553191,0.8695652173913043,0.675340425531915,0.7023043478260869,0.9574468085106383,0.8695652173913043,0.6367872340425531,0.6932608695652174
10,sub-24,0.574468085106383,0.45652173913043476,0.6556857142857142,0.3611714285714286,0.6595744680851063,0.5434782608695652,0.5867692307692308,0.6608055555555556
11,sub-25,0.723404255319149,0.6304347826086957,0.5705499999999999,0.34022222222222226,0.723404255319149,0.5217391304347826,0.5298936170212767,0.32108571428571425
12,sub-29,0.8936170212765957,0.6086956521739131,0.7677954545454544,0.743475,0.8723404255319149,0.6956521739130435,0.7114888888888888,0.7983478260869564
13,sub-30,0.9787234042553191,0.8478260869565217,0.8410638297872343,0.8041304347826089,0.9148936170212766,0.8478260869565217,0.6369787234042554,0.7336
14,sub-32,0.6808510638297872,0.6304347826086957,0.6146808510638297,0.579695652173913,0.9361702127659575,0.7608695652173914,0.673,0.7002391304347826
15,sub-33,0.8297872340425532,0.7391304347826086,0.5803829787234043,0.5167173913043479,0.8723404255319149,0.6521739130434783,0.5458936170212767,0.38549999999999995
16,sub-44,0.8936170212765957,0.7608695652173914,0.4890212765957446,0.6186304347826088,0.8085106382978723,0.8695652173913043,0.608404255319149,0.7231086956521741
17,sub-50,0.6382978723404256,0.5217391304347826,0.6673658536585365,0.5645714285714286,0.723404255319149,0.5869565217391305,0.7090697674418605,0.46263636363636357
18,sub-54,0.9361702127659575,0.8043478260869565,0.702063829787234,0.889688888888889,0.8297872340425532,0.8913043478260869,0.8650000000000001,0.7877608695652174
19,sub-55,0.723404255319149,0.6304347826086957,0.7664888888888888,0.7179318181818182,0.9361702127659575,0.7608695652173914,0.6938723404255318,0.7611777777777776
20,sub-57,0.851063829787234,0.717391304347826,0.6453777777777778,0.5649130434782609,0.851063829787234,0.8043478260869565,0.561,0.6337391304347827
21,sub-66,0.9787234042553191,0.8043478260869565,0.6100638297872341,0.551,0.8936170212765957,0.6739130434782609,0.49165957446808506,0.44728260869565223
22,sub-67,0.8936170212765957,0.8695652173913043,0.5621702127659575,0.5171333333333332,0.9787234042553191,0.6521739130434783,0.664063829787234,0.4366304347826087
23,sub-70,0.9148936170212766,0.5869565217391305,0.8076666666666666,0.7815000000000001,0.8085106382978723,0.6086956521739131,0.7138888888888889,0.6591136363636364
24,sub-71,0.7659574468085106,0.7608695652173914,0.7539999999999999,0.9084186046511629,0.8297872340425532,0.5434782608695652,0.739695652173913,0.5351666666666667
25,sub-73,0.8936170212765957,0.6521739130434783,0.6184565217391305,0.7289729729729731,0.9361702127659575,0.5217391304347826,0.6042608695652173,0.5995384615384615
26,sub-74,0.5106382978723404,0.43478260869565216,0.9309714285714287,0.8297096774193548,0.6170212765957447,0.5217391304347826,0.6613409090909091,0.6462
27,sub-76,0.9574468085106383,0.8478260869565217,0.4895319148936171,0.5041086956521739,0.8297872340425532,0.8260869565217391,0.5576808510638299,0.5324130434782609
28,sub-77,0.8936170212765957,0.6521739130434783,0.5509999999999999,0.47836956521739127,0.8936170212765957,0.6521739130434783,0.6076808510638297,0.49315217391304345
29,sub-79,0.3829787234042553,0.4782608695652174,0.36558064516129035,0.2978571428571428,0.7446808510638298,0.5652173913043478,0.4723829787234041,0.3974999999999999
