,Subect ID,VLD_AC_1back,VLD_AC_2back,VLD_RT_1back,VLD_RT_2back,VLI_AC_1back,VLI_AC_2back,VLI_RT_1back,VLI_RT_2back
0,sub-03,0.9361702127659575,0.8260869565217391,0.6177659574468086,0.6722826086956523,0.9361702127659575,0.9130434782608695,0.7439787234042554,0.8342826086956522
1,sub-15,0.9787234042553191,0.8260869565217391,0.7316808510638297,0.8198888888888888,0.9574468085106383,0.8043478260869565,0.7240212765957448,0.7007391304347828
2,sub-20,0.9787234042553191,0.9347826086956522,0.5214255319148935,0.5834782608695652,0.9574468085106383,0.9347826086956522,0.5952340425531916,0.6842608695652174
3,sub-31,0.9148936170212766,0.9130434782608695,0.6795,0.7277777777777777,0.9574468085106383,0.8695652173913043,0.7157391304347825,0.8113260869565216
4,sub-34,0.8297872340425532,0.5869565217391305,0.7753260869565217,0.39454347826086944,0.9148936170212766,0.8478260869565217,0.5546444444444444,0.6339130434782608
5,sub-35,0.9574468085106383,0.8478260869565217,0.6496739130434783,0.6660869565217391,1.0,0.6956521739130435,0.6531702127659574,0.6718695652173914
6,sub-36,0.723404255319149,0.782608695652174,0.7300212765957447,0.6668913043478261,0.7659574468085106,0.6739130434782609,0.656404255319149,0.6674318181818182
7,sub-37,0.9361702127659575,0.8478260869565217,0.6682340425531914,0.7837608695652173,0.9361702127659575,0.8260869565217391,0.6166808510638299,0.7188444444444446
8,sub-38,0.9787234042553191,0.8695652173913043,0.5491276595744681,0.4850869565217392,0.9361702127659575,0.9347826086956522,0.45712765957446816,0.5202826086956522
9,sub-39,1.0,0.9782608695652174,0.6395106382978722,0.6319347826086956,0.9574468085106383,0.8913043478260869,0.609659574468085,0.7003333333333334
10,sub-40,1.0,0.8913043478260869,0.7293617021276597,0.8477209302325582,0.9787234042553191,0.9782608695652174,0.7263404255319148,0.7758913043478262
11,sub-43,0.9148936170212766,0.6304347826086957,0.8186595744680852,0.9336285714285714,0.7659574468085106,0.7608695652173914,0.7356818181818181,0.7906590909090909
12,sub-46,0.9361702127659575,0.8043478260869565,0.5911489361702127,0.6707777777777777,0.8936170212765957,0.8478260869565217,0.6450851063829787,0.6191304347826087
13,sub-48,1.0,0.9347826086956522,0.5971489361702128,0.7031304347826087,0.9787234042553191,0.8478260869565217,0.5368723404255319,0.554695652173913
14,sub-51,0.9787234042553191,0.782608695652174,0.6242127659574468,0.9094186046511629,0.9787234042553191,0.6521739130434783,0.5711914893617022,0.7601304347826087
15,sub-53,0.9574468085106383,0.8695652173913043,0.6309574468085106,0.5870217391304349,0.9148936170212766,0.782608695652174,0.5088723404255319,0.4632173913043479
16,sub-56,0.7659574468085106,0.6086956521739131,0.792891304347826,0.7249782608695653,0.851063829787234,0.43478260869565216,0.7422222222222222,0.362
17,sub-58,0.8297872340425532,0.5869565217391305,0.5532826086956523,0.6319750000000001,0.7446808510638298,0.5,0.6043695652173914,0.67995
18,sub-59,0.9361702127659575,0.8260869565217391,0.6361063829787234,0.5396,0.9574468085106383,0.7608695652173914,0.7867872340425535,0.729304347826087
19,sub-60,0.9574468085106383,0.8043478260869565,0.7334888888888889,0.9066363636363637,0.9361702127659575,0.7391304347826086,0.8152888888888891,0.8492888888888888
20,sub-61,1.0,0.8260869565217391,0.6315319148936169,0.6441304347826087,0.9787234042553191,0.9565217391304348,0.6935106382978725,0.7218478260869566
21,sub-62,0.9787234042553191,0.8043478260869565,0.6293829787234041,0.5395,0.8297872340425532,0.717391304347826,0.5634130434782608,0.5350652173913043
22,sub-63,0.8936170212765957,0.8913043478260869,0.6433829787234042,0.63,0.7659574468085106,0.8913043478260869,0.7472727272727273,0.7748888888888888
23,sub-64,0.723404255319149,0.5434782608695652,0.6975227272727272,0.6368863636363638,0.7021276595744681,0.717391304347826,0.5268409090909091,0.7078139534883721
24,sub-65,0.9574468085106383,0.8043478260869565,0.6244468085106384,0.6765652173913044,0.8936170212765957,0.6956521739130435,0.7244255319148937,0.7253260869565218
25,sub-68,0.8723404255319149,0.5652173913043478,0.7195434782608696,0.8338222222222224,0.8936170212765957,0.717391304347826,0.7308043478260869,0.7207608695652172
26,sub-69,0.8085106382978723,0.782608695652174,0.5934893617021276,0.6536521739130435,0.9574468085106383,0.717391304347826,0.6296808510638299,0.5573043478260871
27,sub-72,0.8936170212765957,0.6304347826086957,0.7047391304347826,0.7601818181818182,0.5957446808510638,0.6956521739130435,0.6521111111111112,0.6225227272727273
